Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Acceleration Net,Gyro Net,Time (s),Genre,BPM
-1.56338448515391,3.7034847425,8.92786186678261,-0.269162697522553,-0.21599624057483,0.0370114951292277,9.791153547907484,0.3470918962634796,00:00:00.000000,rock,173
-0.832033698333471,2.61805881239216,9.15784832078431,-0.275456182062039,0.300962047356725,-0.0075846865216274,9.560998791276921,0.4080585615508858,00:00:00.250000,rock,173
-1.97800728314942,2.80923129732692,9.22369859782692,-0.0555871007614231,-0.296234487519615,-0.348594083917558,9.842810021412966,0.46082820303166233,00:00:00.500000,rock,173
-1.39411242925098,1.94486044322353,9.22829586864706,0.187295169236269,-0.638972664838904,-0.304613081315385,9.53349234269877,0.7322258368420403,00:00:00.750000,rock,173
1.40484573083288,2.32233218156346,9.49418527346154,0.267072009021882,-1.32997018864823,0.142611876572157,9.87453149753337,1.363996447222435,00:00:01.000000,rock,173
-0.13707522630410163,3.91814151468627,7.01928655768627,0.1746553261525,-1.24146482312631,0.366167688927904,8.039963079871045,1.3060697402620882,00:00:01.250000,rock,173
1.024023875917032,0.410300063640577,8.270659602850992,-1.00559831598627,-1.505513917,0.905715802143137,8.343906837141876,2.0243816936652266,00:00:01.500000,rock,173
2.2314836952816477,2.138500566676137,5.45985184265385,-1.77552447409615,-0.101553357209039,-0.168934506634038,6.273968943158122,1.7864319494474237,00:00:01.750000,rock,173
3.002332721198381,1.6134303228059332,7.42718171084511,-1.3307367487,-0.190239993980196,-0.556868120786667,8.171914545639854,1.4550442101869985,00:00:02.000000,rock,173
3.554395821705162,0.946253019231803,7.78909780298461,-1.13650190084346,0.624823327961346,-0.0746995714932692,8.613893952111328,1.2990845960778565,00:00:02.250000,rock,173
4.55778218755046,0.33466888890643787,7.028771038845924,0.1386359190992007,-1.88508052130615,0.834452593407692,8.383853770842698,2.0661702786840124,00:00:02.500000,rock,173
5.50784630042308,-0.968500721659615,6.292179760973772,1.18487600102745,1.16096611939804,-0.943306877,8.418188086598407,1.9082980198062458,00:00:02.750000,rock,173
5.443219040969984,-1.97314685993673,5.946962202773487,-0.12122046000538028,-0.805531328982692,-0.343284411858269,8.299897680096596,0.8839792471101432,00:00:03.000000,rock,173
5.910999017524815,0.948015214616333,4.03724308811765,-1.13837974273451,-1.31893002285882,-2.20314340265686,7.220662987903335,2.8087943492781924,00:00:03.250000,rock,173
6.94148643203846,0.6016123296809816,5.175769344780552,0.659503591391538,-1.00396270419231,-1.97547709486539,8.679559873159947,2.312011213382252,00:00:03.500000,rock,173
5.669065479711383,1.1245996387589627,4.836275779293276,-0.42210899183746214,-0.218183263713941,-0.235697206048431,7.536085931976282,0.5304084374271797,00:00:03.750000,rock,173
6.030440862818251,1.5635110335771252,5.87296460232692,0.0039293892155769,0.729715786383077,2.08126235003846,8.561687740875074,2.2054826090186914,00:00:04.000000,rock,173
