"event","experiment time","system time","system time text"
"START",0.000000000E0,1686420192.843,"2023-06-10 20:03:12.843 UTC+02:00"
"PAUSE",8.413276061E2,1686421034.171,"2023-06-10 20:17:14.171 UTC+02:00"
