"event","experiment time","system time","system time text"
"START",0.000000000E0,1686414644.583,"2023-06-10 18:30:44.583 UTC+02:00"
"PAUSE",1.062958253E3,1686415707.541,"2023-06-10 18:48:27.541 UTC+02:00"
