"event","experiment time","system time","system time text"
"START",0.000000000E0,1686415950.363,"2023-06-10 18:52:30.363 UTC+02:00"
"PAUSE",9.006568636E2,1686416851.020,"2023-06-10 19:07:31.020 UTC+02:00"
