"event","experiment time","system time","system time text"
"START",0.000000000E0,1686413227.184,"2023-06-10 18:07:07.184 UTC+02:00"
"PAUSE",8.985551500E2,1686414125.739,"2023-06-10 18:22:05.739 UTC+02:00"
